,Time (s),Range (mm),Range Avg 3 (mm),Range Avg 5 (mm),Range Avg 8 (mm),Range Avg 10 (mm),Lumens (0dB),Velocity (mm/s),Velocity Avg 3 (mm/s),Velocity Avg 10 (mm/s),Velocity Avg 3 Manual (mm/s)
114,21.23,34,33.0,33.2,33.25,33.3,9.15,2.9411764705880614,0.9803921568627487,-0.2941176470588118,1.9607843137254846
115,21.4,33,33.0,33.0,33.25,33.2,9.02,-2.941176470588303,0.9803921568627203,-0.29411764705882604,0.0
116,21.57,33,33.333333333333336,33.0,33.125,33.2,9.15,2.941176470588303,0.9803921568627345,0.29411764705882604,1.9607843137254846
117,21.74,34,33.333333333333336,33.2,33.25,33.3,9.09,-2.9411764705880614,-0.9803921568627345,-0.2941176470588118,0.0
118,21.91,32,33.0,33.2,33.0,33.1,8.9,-2.484402852049797,-0.9506833036244728,-0.5704099821746524,-1.9607843137254846
119,22.07,33,33.0,33.0,33.0,33.1,8.9,-2.4844028520500387,-2.852049910873504,-0.8556149732620639,0.0
120,22.24,31,32.0,32.6,32.75,32.8,9.22,-2.5579538487363607e-13,-1.9607843137255685,-0.8823529411764923,-5.882352941176535
121,22.41,33,32.333333333333336,32.6,32.875,32.8,9.41,2.9411764705880614,-4.263256414560601e-14,-0.29411764705882604,1.9607843137254846
122,22.58,32,32.0,32.2,32.625,32.7,9.54,-2.941176470588303,-4.263256414560601e-14,-0.29411764705882604,-1.9607843137255254
123,22.75,32,32.333333333333336,32.2,32.5,32.7,9.79,0.0,0.0,-0.5882352941176521,1.9607843137254846
124,22.92,32,32.0,32.0,32.375,32.5,10.18,-2.941176470588303,-1.9607843137254974,-1.1764705882353041,-1.9607843137254846
125,23.09,31,31.666666666666668,32.0,32.0,32.3,10.37,0.36764705882346504,-0.950683303624487,-0.8923796791443692,-1.9607843137255045
126,23.25,32,31.666666666666668,31.8,32.0,32.2,10.88,3.219696969696969,-1.4210854715202004e-14,-0.8923796791443692,0.0
127,23.42,32,31.666666666666668,31.8,31.875,32.0,11.46,2.941176470588303,1.96078431372554,-0.2941176470587976,0.0
128,23.59,33,32.333333333333336,32.0,32.125,32.1,11.52,2.941176470588289,2.941176470588246,0.29411764705884025,3.92156862745103
129,23.76,33,32.666666666666664,32.2,32.125,32.1,11.46,1.4210854715202004e-14,1.9607843137254832,0.5882352941176379,1.9607843137254426
130,23.93,33,33.0,32.6,32.25,32.3,11.58,-1.4210854715202004e-14,0.9803921568627629,0.5882352941176379,1.9607843137255254
131,24.1,33,33.0,32.8,32.375,32.3,11.65,-2.941176470588289,-0.9803921568627629,0.0,0.0
132,24.27,32,32.666666666666664,32.8,32.375,32.3,11.46,-1.2789769243681803e-13,-0.9803921568627771,0.2941176470588118,-1.9607843137255254
133,24.44,33,32.666666666666664,32.8,32.625,32.4,11.26,6.071746880570387,1.0732323232323466,0.9291443850267598,0.0
134,24.6,34,33.0,33.0,32.875,32.6,10.3,3.2196969696969404,2.9745989304813065,1.4995543672014264,2.0833333333333464
135,24.77,34,33.666666666666664,33.2,33.125,32.9,10.3,-2.941176470588175,1.9607843137255117,1.1764705882353041,3.921568627451009
136,24.94,33,33.666666666666664,33.2,33.125,33.0,10.88,-2.941176470588161,-0.9803921568627487,0.5882352941176663,0.0
137,25.11,33,33.333333333333336,33.4,33.125,33.1,11.2,-2.9411764705881893,-2.941176470588232,0.0,-1.9607843137254837
138,25.28,32,32.666666666666664,33.2,33.0,33.0,13.76,2.9411764705884167,-0.9803921568626919,1.4210854715202004e-14,-3.921568627450969
139,25.45,34,33.0,33.2,33.125,33.1,14.4,-0.7352941176469159,-0.12254901960781694,-0.036764705882333715,1.9607843137255254
140,25.61,32,32.666666666666664,32.8,33.125,33.0,16.13,-3.587344028520576,-0.12254901960787379,-0.32196969696970257,-2.0833333333333464
141,25.78,33,33.0,32.8,33.125,33.0,17.73,8.823529411764781,1.9607843137255117,0.8823529411764923,1.9607843137254846
142,25.95,35,33.333333333333336,33.2,33.25,33.3,18.18,5.882352941176592,3.921568627450938,1.470588235294116,1.9607843137255254
143,26.12,35,34.333333333333336,33.8,33.375,33.5,18.37,0.0,4.901960784313701,0.8823529411764781,5.8823529411764115
144,26.29,35,35.0,34.0,33.625,33.6,18.62,5.88235294117635,3.9215686274509665,1.1764705882352757,3.921568627451009
145,26.46,37,35.666666666666664,35.0,34.125,33.9,18.88,-2.4158453015843406e-13,1.9607843137254406,1.470588235294116,3.921568627450927
146,26.63,35,35.666666666666664,35.4,34.5,34.1,19.39,-2.9411764705884167,0.9803921568627345,1.4705882352941018,0.0
147,26.8,36,36.0,35.6,34.75,34.4,20.1,8.823529411764781,1.9607843137255117,2.64705882352942,1.9607843137254846
148,26.97,38,36.333333333333336,36.2,35.5,35.0,19.58,-3.9549910873438563,0.9506833036245155,2.033199643493816,1.9607843137255254
149,27.13,35,36.333333333333336,36.2,35.75,35.1,18.94,-6.807040998217559,-1.4210854715202004e-14,1.4627896613190359,0.0
150,27.3,36,36.333333333333336,36.0,35.875,35.5,17.41,-1.1368683772161603e-13,-2.941176470588289,1.7647058823529278,0.0
151,27.47,35,35.333333333333336,36.0,35.875,35.7,16.19,-1.2789769243681803e-13,-1.9607843137255827,0.8823529411764781,-5.882352941176535
152,27.64,36,35.666666666666664,36.0,36.0,35.8,16.0,8.823529411764781,2.941176470588246,1.1764705882353041,1.9607843137254426
153,27.81,38,36.333333333333336,36.0,36.125,36.1,15.68,5.882352941176592,4.901960784313715,1.7647058823529278,3.921568627451051
154,27.98,38,37.333333333333336,36.6,36.5,36.4,15.81,-3.219696969696969,3.9252822341057225,0.8556149732620355,5.8823529411764115
155,28.14,37,37.666666666666664,36.8,36.625,36.4,17.54,-3.2196969696969546,0.12254901960781694,0.5704099821747093,2.083333333333302
156,28.31,37,37.333333333333336,37.2,36.5,36.6,18.94,-2.941176470588175,-2.9411764705882177,0.5882352941176805,-1.9607843137254837
157,28.48,36,36.666666666666664,37.2,36.625,36.6,19.2,2.941176470588431,-0.9803921568626919,0.0,-3.921568627450969
158,28.65,38,37.0,37.2,36.875,36.6,19.07,5.704099821746993,2.0239156268568195,0.9659090909090793,1.9607843137255254
159,28.81,38,37.333333333333336,37.2,37.25,36.9,18.94,-1.4210854715202004e-14,2.9745989304812497,1.5363190730837601,2.0833333333333464
160,28.98,38,38.0,37.4,37.5,37.1,18.75,-8.823529411764895,-0.9803921568628624,0.5882352941176521,3.921568627450927
161,29.15,35,37.0,37.0,37.125,37.1,18.94,-2.9411764705885446,-3.9215686274510375,0.2941176470588118,-5.882352941176535
162,29.32,37,36.666666666666664,37.2,37.0,37.2,19.46,8.923796791443777,-0.9506833036244728,0.28520499108735464,-1.9607843137254846
163,29.48,38,36.666666666666664,37.2,37.125,37.2,19.71,-2.4844028520500387,0.950683303624487,-0.5704099821747093,0.0
164,29.65,36,37.0,36.8,37.0,37.0,19.9,-2.5579538487363607e-13,1.9607843137254974,-0.29411764705884025,1.9607843137255254
165,29.82,38,37.333333333333336,36.8,37.25,37.1,20.03,5.88235294117635,0.9803921568627345,0.5882352941176521,1.9607843137254846
166,29.99,38,37.333333333333336,37.4,37.25,37.2,20.03,1.4210854715202004e-14,2.1464646464646364,0.9291443850267314,0.0
167,30.15,38,38.0,37.6,37.25,37.4,20.1,-2.8520499108734043,1.1957813428401494,0.3587344028520363,4.166666666666648
168,30.32,37,37.666666666666664,37.4,37.125,37.3,20.03,2.941176470588431,4.263256414560601e-14,1.4210854715202004e-14,-1.9607843137254846
169,30.49,39,38.0,38.0,37.625,37.4,20.03,-2.9411764705879335,-0.9803921568626635,-0.2941176470587834,1.9607843137255254
170,30.66,36,37.333333333333336,37.6,37.5,37.2,19.97,-5.882352941176222,-1.9607843137254406,2.842170943040401e-14,-3.921568627450927
171,30.83,37,37.333333333333336,37.4,37.375,37.4,20.03,8.823529411764639,0.0,1.1764705882353041,0.0
172,31.0,39,37.333333333333336,37.6,37.75,37.6,20.03,8.923796791443806,4.292929292929301,1.214349376114086,0.0
173,31.16,40,38.666666666666664,38.2,38.0,37.8,20.03,0.36764705882346504,6.194295900178261,1.4995543672014406,8.333333333333297
174,31.33,39,39.333333333333336,38.2,38.125,38.1,20.03,-2.941176470588303,1.96078431372554,1.1764705882353184,3.921568627451051
175,31.5,39,39.333333333333336,38.8,38.25,38.2,20.16,0.0,-0.9803921568627487,0.5882352941176237,0.0
176,31.67,39,39.0,39.2,38.5,38.3,20.1,-3.2196969696970967,-2.0239156268568337,0.285204991087312,-1.9607843137254846
177,31.83,38,38.666666666666664,39.0,38.375,38.3,20.16,-6.071746880570444,-2.9745989304812497,0.0,-2.0833333333333925
178,32.0,37,38.0,38.4,38.5,38.3,20.29,2.9411764705882035,-1.960784313725469,0.0,-3.921568627450927
179,32.17,39,38.0,38.4,38.75,38.3,20.42,8.82352941176461,1.960784313725469,1.1764705882353041,0.0
180,32.34,40,38.666666666666664,38.6,38.875,38.7,20.54,2.9411764705881467,4.901960784313815,2.0588235294117823,3.921568627450927
181,32.51,40,39.666666666666664,38.8,38.875,39.0,20.54,0.0,3.9215686274511086,1.1764705882353184,5.8823529411766575
182,32.68,40,40.0,39.2,39.0,39.1,20.54,-5.882352941176407,-0.9803921568627203,-0.29411764705882604,1.9607843137254846
